city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,ninios,comida/bebida
Riviera Maya,21,El Dorado Royale A Spa Resort by Karisma,8377,4.5,4.0,5.0,1,1,1,0,1
Riviera Maya,11,Suites Tulum,2934,3.0,3.0,0,0,1,1,0,1
Riviera Maya,21,Ruta Del Sol Hotel,699,0.0,2.5,0,0,1,0,1,1
Riviera Maya,0,Caliza Tulum Hotel,803,0.0,,0,0,0,0,0,0
Riviera Maya,0,Kuukum Tulum Hotel,1899,0.0,,0,0,0,0,0,0
Riviera Maya,0,Amanecer y Manana Private Room - Tulum Town Alojamiento,2141,0.0,,0,0,0,0,0,0
Riviera Maya,0,Hotel Las Tres Palmas Hostal,1586,0.0,,0,0,0,0,0,0
Riviera Maya,0,Jade Hotel Tulum,1936,0.0,,0,0,0,0,0,0
Riviera Maya,0,Casa Colonial Vintage Hotel,899,0.0,,0,0,0,0,0,0
Riviera Maya,4,El Cielo Hotel Boutique Alojamiento,991,0.0,3.5,0,1,1,1,1,1
Riviera Maya,39,Ikal Tulum Boutique Hotel,4232,2.5,3.0,0,0,0,0,0,1
Riviera Maya,64,OYO Hotel Palma Real,380,4.5,3.5,3.0,0,1,1,1,0
Riviera Maya,130,Kin Ha Tulum Hotel,1374,3.5,3.5,3.0,0,1,0,0,0
Riviera Maya,14,La Diosa Tulum Posada,4262,0.0,3.5,0,0,0,0,0,1
Riviera Maya,2,Oryx Hostel,299,0.0,5.0,0,1,1,1,0,1
Riviera Maya,16,Wakax Hacienda,4401,4.5,5.0,0,0,1,1,1,1
Riviera Maya,317,Hotel Zulum Villa vacacional,4936,3.0,3.5,3.0,1,1,1,0,1
Riviera Maya,8,Anah Tulum Apartamento,1673,5.0,4.5,0,1,1,1,1,1
Riviera Maya,3,Alea Tulum by Blue Sky Hotel,4444,0.0,5.0,0,0,0,0,0,0
Riviera Maya,18,Hotel ArcoIris,1090,5.0,4.5,0,0,1,1,1,1
Riviera Maya,18,Tulum Nah Hotel especializado,851,4.5,5.0,3.0,0,1,1,1,1
Riviera Maya,93,Los Amigos Beach Hotel,8028,4.0,4.0,0,1,1,0,1,1
Riviera Maya,161,L'Hotelito,1903,4.0,3.5,3.0,0,1,0,0,0
Riviera Maya,52,Coco Village Hostal especializado,2226,4.5,4.5,0,0,1,1,1,1
Riviera Maya,4,Hotel Sayab Hostal,1350,0.0,4.5,0,0,1,1,1,1
Riviera Maya,1,Sunset Bungalows - Budget All Inclusive B & B,600,0.0,1.0,0,0,0,0,0,0
Riviera Maya,9,Nuée Tulum Posada,1297,0.0,4.0,3.5,0,1,1,0,1
Riviera Maya,229,Punta Piedra Beach Posada B & B,3300,3.5,4.0,3.0,1,1,1,0,1
Riviera Maya,110,Harmony Glamping and Boutique Hotel,1189,4.0,4.0,0,1,1,1,0,1
Riviera Maya,24,Esplendor By Wyndham Tulum Nook Alojamiento,2676,4.5,4.5,4.0,1,1,1,0,1
Riviera Nayarit,3939,Grand Velas Riviera Nayarit Resort (todo incluido),18037,4.5,5.0,5.0,1,1,1,1,1
Riviera Nayarit,2632,Villa La Estancia Beach Resort & Spa Riviera Nayarit,9008,4.5,4.5,5.0,1,1,1,1,1
Riviera Nayarit,4790,Villa del Palmar Flamingos Beach Resort & Spa Hotel,2385,4.5,4.5,4.0,1,1,1,1,1
Riviera Nayarit,303,Hotel Ysuri Sayulita Hostal especializado,1785,4.5,5.0,0,1,1,1,1,1
Riviera Nayarit,4153,Marival Distinct Luxury Residences Resort (todo incluido),13234,4.5,4.5,4.5,1,1,1,1,1
Riviera Nayarit,558,El Pueblito Sayulita Hotel,2100,4.5,5.0,3.5,0,1,1,1,1
Riviera Nayarit,33,Mar y Suenos B & B,1553,4.5,4.5,0,0,1,1,1,1
Riviera Nayarit,14,Paraíso Sayulita Alojamiento,2140,5.0,5.0,0,0,1,1,1,1
Tepic,24,Hotel San Jorge,793,4.0,4.0,3.0,0,1,1,1,1
Tepic,23,Hotel Tepic,890,4.0,3.5,2.0,0,1,0,1,1
Tepic,33,Hotel Ejecutivo Tepic,828,3.5,3.0,4.0,0,1,1,1,1
Tepic,19,Hotel Villa Las Rosas,695,4.0,4.0,4.0,0,1,0,1,1
Tepic,30,City Express Tepic Hotel,1485,4.5,4.0,3.0,0,1,1,1,1
Tepic,15,Hotel Sierra de Alica,496,4.0,3.5,0,0,1,1,1,1
Tepic,808,Hotel Fray Junipero Serra,1213,4.5,4.5,3.5,0,1,1,1,1
Tepic,247,NK Hotel Nekié Tepic,1035,4.0,4.0,3.5,0,1,1,1,1
Tepic,483,Fiesta Inn Tepic Hotel,1304,4.5,4.5,3.0,0,1,1,1,1
Tlapacoyan,139,Aventurec,837,4.5,5.0,0,0,1,1,1,1
Todos Santos,123,Serendipity B & B,3387,5.0,5.0,5.0,1,1,1,1,1
Todos Santos,104,La Bohemia Baja Hotel Pequeno,2904,5.0,4.5,3.0,0,1,1,1,1
Todos Santos,95,Paradero Todos Santos Hotel,12756,4.5,4.5,0,0,1,1,0,1
Todos Santos,429,Guaycura Boutique Hotel Beach Club & Spa,4477,4.5,4.5,3.5,1,1,1,1,1
Todos Santos,103,Hacienda Todos Los Santos Hotel,4085,4.5,5.0,5.0,0,1,1,0,1
Todos Santos,69,Perro Surfero Boutique Hotel B & B,2199,5.0,4.5,0,0,1,1,1,0
