city,comments,name,prices,quality_price,rating,stars,heredados,acceso/comunicacion,entretenimiento/deporte,inclusion,ninios,comida/bebida
Centro Tulum,326,Hotel Posada 06 Tulum,1315,7.9,7.9,3,0,1,1,0,1,0
Centro Tulum,39,Hostal Del Jaguar,1393,8.3,8.1,0,0,1,1,0,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,260,Kin Ha Tulum Hotel,1381,8.5,8.7,3,0,1,1,0,1,0
Centro Tulum,226,Azura Boutique Hotel,1195,9.3,9.3,4,0,1,1,0,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,47,Botånica Tulum,1501,9.5,9.5,0,0,1,1,0,1,1
Centro Tulum,40,Caliza Tulum Hotel,807,7.7,7.4,0,0,1,1,0,1,0
Centro Tulum,449,Zenses Wellness and Yoga Resort - Adults Only,3534,8.8,8.7,4,0,1,1,0,0,0
Centro Tulum,120,Hotel Iker,996,8.0,7.9,0,0,1,1,0,1,0
Centro Tulum,515,Villas Geminis Boutique Condohotel,1817,8.4,8.6,0,1,1,1,1,1,1
Centro Tulum,736,Luna Maya,715,7.5,7.0,3,0,1,1,0,0,0
Centro Tulum,266,Tulum Banana Hostel,1413,7.7,7.3,0,0,1,1,0,0,1
Centro Tulum,146,Latino Hotel Boutique,1341,9.2,9.1,3,0,1,1,0,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,241,Kaab Boho,1046,8.0,7.9,3,0,1,1,1,1,1
Centro Tulum,311,Layla Tulum - Adults Only,2735,8.7,9.1,4,0,1,1,1,1,1
Centro Tulum,23,Hotel MT Tulum,928,6.7,6.0,0,0,1,1,0,0,0
Centro Tulum,237,Aroma Tulum,1334,7.9,7.8,0,0,1,1,0,0,1
Centro Tulum,132,Downtown Tulum,1499,7.8,7.6,4,0,1,1,0,1,1
Centro Tulum,172,TAAN',1195,7.6,7.6,4,0,1,1,0,1,0
Centro Tulum,472,Hotel Arcoiris Tulum,717,8.7,8.6,4,0,1,1,0,0,0
Centro Tulum,190,Lagoon Boutique Hotel - Adults Only,2104,8.3,7.9,4,0,1,1,1,1,1
Centro Tulum,106,Maison Tulum,1101,8.8,8.7,3,0,1,1,0,1,1
Centro Tulum,767,Elements Tulum Boutique Hotel,1569,8.8,8.7,4,0,1,1,1,1,0
Centro Tulum,224,Posada Malix Pek,675,8.8,8.5,2,0,1,1,0,1,0
Centro Tulum,204,Hotel Ko'ox Wenne,648,8.7,8.4,0,0,1,1,0,1,0
Centro Tulum,362,Casa Colonial Tulum,764,7.0,6.7,4,0,1,1,1,1,0
Centro Tulum,127,L hotelito,956,8.8,8.6,0,0,1,1,0,1,0
Centro Tulum,531,Maka Hotel Boutique,1972,8.7,8.6,5,0,1,1,1,0,1
Centro Tulum,350,Howlita Tulum - Adult Only,1107,8.7,8.8,3,0,1,1,0,0,1
Centro Tulum,746,Una Vida,5714,9.0,9.2,5,0,1,1,1,1,1
Centro Tulum,167,Hotel Nicte Ha Tulum,996,7.8,7.6,0,0,1,1,0,1,1
Centro Tulum,298,Coco Hacienda Tulum - Adults Only,2237,8.8,8.9,0,0,1,1,1,0,1
Centro Tulum,469,Hotel Central Station Tulum,777,9.3,9.1,3,0,1,1,0,1,0
Centro Tulum,187,Xkeken Tulum,1245,8.4,8.1,0,0,1,1,0,1,1
Centro Tulum,321,Hotel El Capitán Tulum,1230,9.4,9.1,3,1,1,1,1,1,0
Centro Tulum,591,Los Arcos Tulum,1200,8.2,8.0,4,0,1,1,1,1,0
Centro Tulum,218,Nuee Tulum,1095,7.7,7.3,4,0,1,1,0,1,1
Centro Tulum,286,Corazon de Tulum,496,8.3,7.9,0,0,1,1,0,0,0
Centro Tulum,769,Casa Almendro,932,9.3,9.2,0,0,1,0,0,1,1
Centro Tulum,16,Luhme Tulum Hostel,896,9.5,8.8,0,0,1,1,0,0,1
Centro Tulum,163,Kukulcan by Emotion,697,7.4,7.4,0,0,1,1,1,1,0
Centro Tulum,429,Kaab Tulum,1656,8.4,8.6,4,0,1,1,0,1,1
Centro Tulum,1.920,XscapeTulum,1192,8.8,8.7,4,0,1,1,0,1,1
Centro Tulum,531,Pacha Tulum,928,8.5,8.6,4,0,1,1,0,1,1
Centro Tulum,544,La Palmita Budget Boutique Hotel,896,8.8,8.9,0,0,1,1,0,1,1
Centro Tulum,76,LA TULUMEÑA Boutique Hotel,871,7.6,7.7,3,0,1,1,0,1,1
Centro Tulum,45,Teetotum hotel,2241,8.4,8.8,3,0,1,1,0,1,1
Centro Tulum,420,Corazon De Jade,1026,8.7,8.6,3,1,1,1,0,1,1
Centro Tulum,369,Bufo Alvarius,630,7.9,8.1,0,0,1,1,0,1,1
Centro Tulum,229,Casa Xanath,1000,8.0,7.9,4,0,1,0,1,1,0
Centro Tulum,473,Hotel Muyu Tulum,1134,8.6,8.7,0,0,1,1,1,1,0
Centro Tulum,1.608,Hotel Blanco Tulum,1089,7.9,7.6,3,0,1,1,1,0,1
Centro Tulum,564,Mestizo Gallery,1312,8.5,8.4,4,0,1,1,0,1,1
Centro Tulum,378,Ariché Tulum Hotel & Hostal,1022,8.7,8.7,0,0,1,1,0,1,1
Centro Tulum,729,Hotel Bardo - Adults Only,6275,9.1,9.5,5,0,1,1,0,1,1
Centro Tulum,652,Casa Abanico Tulum,498,9.2,9.2,0,0,1,1,0,0,1
Centro Tulum,581,Hotel Uolis Nah,1721,8.7,8.6,3,0,1,1,0,1,1
