,city,comments,name,prices,quality_price,rating,services,stars,id,rank
782,Bacalar,1429,Rancho Encantado Resort,,4.5,4.5,Estacionamiento gratis # Internet gratuito # Piscina # Bar/Salón # Canotaje # Transporte al aeropuerto # Salón de banquetes # Spa # Aire acondicionado # Servicio de limpieza # Balcón privado # Caja fuerte # Baños privados # Máquina de café/té # Minibar # Secador de pelo # Vista al mar # Suite nupcial # Habitaciones para no fumadores # Suites # Habitaciones para familias,3.0,122,117
780,Bacalar,441,Casa Chukum - Hotel Boutique,2300 # 2300 # 2300 # 2300 # 2277 # 2277,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Bar/Salón # Juegos de mesa/Rompecabezas # Solárium # Terraza en la azotea # Conserje # Habitación libre de alérgenos # Cortinas blackout # Aire acondicionado # Escritorio # Servicio de limpieza # Balcón privado # TV pantalla plana # Productos de tocador de cortesía # Vista a la piscina # Habitaciones para no fumadores # Habitaciones para familias,0,123,118
779,Bacalar,363,Hotel & Suites Oasis Bacalar,1691 # 1691 # 1618,5.0,5.0,Estacionamiento gratis # Internet gratuito # Piscina # Café instantáneo gratis # Alquiler de bicicletas # Navegación # Cadenas de televisión para niños # Piscina para niños # Aire acondicionado # Comedor # Servicio de limpieza # Balcón privado # Máquina de café/té # Kitchenette # TV por cable/satélite # Bañera/Ducha # Vista a la piscina # Habitaciones para no fumadores # Suites # Habitaciones para familias,0,124,119
1327,Bacalar,11,Casa Bizu B & B,1080 # 1080,0.0,3.5,Transporte al aeropuerto,0,127,122
1330,Bacalar,2,Hotel Diosa del Agua Bacalar,,0.0,4.0,,0,131,126
701,Bacalar,15,La Galuna Bacalar Hotel,,0.0,4.5,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Desayuno gratis # Restaurante,0,132,127
1328,Bacalar,94,Posada LULÚ La Bruja Hostal,800,3.5,4.0,Internet gratuito # Clases de yoga # Desayuno gratis # Playa # Navegación # Se admiten mascotas ( Se aceptan perros / mascotas ) # Servicio de taxi # Masaje de cuerpo completo # Aire acondicionado # Playa privada # Servicio de limpieza # Balcón privado # Baños privados # Vista al mar # Habitaciones para no fumadores # Suites # Habitaciones para familias # Habitaciones para fumadores disponibles,0,133,128
773,Bacalar,166,Kuuch Kaanil Villas Eco-romanticas Rancho,,3.5,4.0,Estacionamiento gratis # Internet gratuito # Piscina # Desayuno gratis # Masaje # Almacenamiento de equipaje # Hotel para no fumadores # Check-in y check-out exprés # Playa privada # Instalaciones de habitación VIP,0,134,129
775,Bacalar,23,Hotel Boutique Aurea Alojamiento,2900,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Bar/Salón # Playa # Canotaje # Se admiten mascotas ( Se aceptan perros / mascotas ) # Solo para adultos # Instalaciones para hacer parrillas # Cortinas blackout # Aire acondicionado # Playa privada # Escritorio # Balcón privado # Kitchenette # Camas extralargas # Bañera/Ducha # Vista al mar # Habitaciones para no fumadores # Suites,0,135,130
776,Bacalar,17,Mi Kasa Tu Kasa Bacalar by Nah Hotels,,0.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Desayuno gratis # Playa # Masaje # Seguridad las 24 horas # Hotel para no fumadores # Aire acondicionado # Servicio de limpieza # Servicio a la habitación # Caja fuerte # Guardarropa/Ropero # TV por cable/satélite # Ducha a ras de suelo # Bañera/Ducha # Habitaciones para no fumadores # Suites,4.0,136,131
777,Bacalar,33,Agam Hotel Bacalar,1689 # 1689 # 1689,4.5,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Piscina # Bar/Salón # Cadenas de televisión para niños # Piscina para niños # Red para mosquitos # Muebles de exterior # Cortinas blackout # Aire acondicionado # Escritorio # Servicio de limpieza # Caja fuerte # Minibar # TV por cable/satélite # Bañera con hidromasaje # Vista a la piscina # Habitaciones para no fumadores,0,137,132
778,Bacalar,82,MBH Maya Bacalar Hotel Boutique Hostal especializado,,4.0,4.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Bar/Salón # Playa # Alquiler de bicicletas # Servicio de taxi # Masaje # Terraza en la azotea # Cortinas blackout # Aire acondicionado # Comedor # Servicio de limpieza # Balcón privado # Refrigerador # TV por cable/satélite # Ducha a ras de suelo # Vista al mar # Habitaciones para no fumadores,4.0,138,133
1329,Bacalar,1,Aljanna House,,0.0,3.0,,0,139,134
1116,Bacalar,4,Cabanas Pucte,2475 # 2475,0.0,3.5,,0,140,135
699,Bacalar,31,Blue Bird,,5.0,4.0,Estacionamiento gratis # Bar/Salón # Playa # Canotaje # Bañera/Ducha # Productos de tocador de cortesía,0,141,136
1114,Bacalar,1,Hotel Casa Poblana,908,0.0,5.0,,0,142,137
1203,Bacalar,152,Casa Aq ab al,,4.5,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Kitchenette,0,143,138
1205,Bacalar,7,Num Ka'an Ranch,,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Wifi # Piscina # Bar/Salón # Restaurante # Playa # Actividades infantiles (Ideal para niños / familias) # Kitchenette,0,144,139
1206,Bacalar,3,Estancia Lapislázuli,,5.0,5.0,Estacionamiento gratis # Internet de alta velocidad gratuito (WiFi) # Actividades infantiles (Ideal para niños / familias),0,145,140
