city_ta,comments_ta,name,prices_ta,quality_price_ta,rating_ta,stars_ta,rank_ta,heredados_ta,total_heredados_ta,acceso/comunicacion_ta,total_acceso/comunicacion_ta,entretenimiento/deporte_ta,total_entretenimiento/deporte_ta,ninios_ta,total_ninios_ta,comida/bebida_ta,total_comida/bebida_ta,comments_bk,prices_bk,quality_price_bk,rating_bk,stars_bk,rank_bk,heredados_bk,total_heredados_bk,acceso/comunicacion_bk,total_acceso/comunicacion_bk,entretenimiento/deporte_bk,total_entretenimiento/deporte_bk,inclusion,total_inclusion,ninios_bk,total_ninios_bk,comida/bebida_bk,total_comida/bebida_bk
Bacalar,4,Royal Palm Bacalar Cabañas & Lagoon Club,1250.0,0.0,3.5,0.0,224,0,0,0,0,0,0,0,0,0,0,308.0,2808,8.2,8.6,5,42,1,1,1,1,1,6,1,1,1,2,0,0
Bacalar,6,Casa EEK BALAAM,,0.0,4.0,0.0,225,0,0,1,2,0,0,0,0,0,0,309.0,770,8.0,7.7,0,73,0,0,1,4,1,1,0,0,1,1,1,4
Bacalar,3,Poza Clara Sanctuary,1499.0,0.0,4.5,0.0,226,0,0,0,0,0,0,1,1,0,0,200.0,1402,8.5,8.7,0,84,0,0,1,2,1,7,1,1,1,4,1,3
Bacalar,7,Hotel Casa Ariana,720.0,0.0,4.5,0.0,227,0,0,0,0,0,0,0,0,0,0,295.0,720,8.6,8.4,2,13,0,0,1,1,1,4,0,0,0,0,0,0
Bacalar,9,Zensus Eco Boutique Hotel,1566.0,0.0,5.0,0.0,229,0,0,0,0,0,0,0,0,0,0,45.0,1618,9.7,9.6,0,34,0,0,1,3,1,2,0,0,1,1,1,1
Bacalar,6,Stone Aparments,1114.0,0.0,3.0,0.0,231,0,0,0,0,0,0,1,1,0,0,313.0,1247,8.4,8.4,4,10,1,1,1,4,1,4,1,1,1,1,0,0
Bacalar,1,Xibalba in town,,0.0,2.0,0.0,234,0,0,0,0,0,0,0,0,0,0,419.0,1200,8.5,8.2,0,12,0,0,1,2,1,1,0,0,0,0,1,2
Bacalar,1,Hotel Maalob Che Bacalar By Rotamundos,,0.0,1.0,0.0,236,0,0,0,0,0,0,0,0,0,0,157.0,686,8.3,8.2,4,122,0,0,1,2,0,0,0,0,0,0,0,0
Bacalar,99,Amigos Hotelito,1800.0,4.0,4.0,0.0,239,1,1,1,2,0,0,1,1,1,1,389.0,1800,8.7,9.0,3,152,1,3,1,1,1,6,0,0,1,1,1,1
Bacalar,8,Delmar Hostal,,0.0,5.0,0.0,243,0,0,0,0,0,0,1,1,0,0,232.0,380,9.1,8.9,0,50,0,0,1,2,1,2,0,0,0,0,1,4
Bacalar,21,Posada Casa Madrid,,4.5,3.5,0.0,263,0,0,1,2,0,0,1,2,0,0,158.0,697,8.5,8.4,3,130,0,0,1,4,1,6,0,0,1,2,0,0
Bacalar,2,Casa Coral,,0.0,5.0,0.0,270,0,0,1,2,0,0,0,0,0,0,138.0,550,9.5,9.3,3,36,0,0,1,3,1,1,0,0,1,1,1,4
Bacalar,7,Villas Karalv,,5.0,5.0,0.0,271,1,1,0,0,0,0,1,1,1,1,402.0,900,9.0,8.7,3,56,1,2,1,1,1,5,0,0,1,2,1,3
Isla Mujeres,175,Hotel Francis Arlene Adults Only,1575.0,4.0,3.5,2.0,6,0,0,1,2,1,1,0,0,1,2,247.0,1575,7.9,7.9,3,48,1,1,1,1,1,5,0,0,0,0,0,0
Isla Mujeres,4165,Privilege Aluxes Adults Only,,4.5,4.5,5.0,7,1,2,1,2,1,3,0,0,1,2,644.0,5294,8.0,8.6,5,40,1,3,1,10,1,13,1,1,0,0,1,5
