city,comments,name,prices,quality_price,rating,stars,id,rank,heredados,total_heredados,acceso/comunicacion,total_acceso/comunicacion,entretenimiento/deporte,total_entretenimiento/deporte,ninios,total_ninios,comida/bebida,total_comida/bebida
Bacalar,18,Xibalba Bacalar Hostal,,4.5,3.5,0,182,177,1,1,0,0,0,0,1,1,1,1
Bacalar,1,Hotel Villa Carmita,,0.0,5.0,0,183,178,0,0,1,1,0,0,1,1,0,0
Bacalar,56,Hotel Villa Esmeralda,,2.5,2.5,0,186,181,1,1,1,2,1,1,1,2,1,2
Bacalar,2,Pueblo Viejo Hotel especializado,,2.0,1.0,0,187,182,0,0,0,0,1,1,0,0,0,0
Bacalar,2,Casa Particular Alojamiento,,0.0,2.0,0,188,183,0,0,1,1,0,0,1,1,0,0
Bacalar,5,La Nueva Esperanza,,4.0,3.0,0,189,184,0,0,1,2,1,2,1,1,0,0
Bacalar,21,Casita Maya Posada,,0.0,3.0,0,190,185,0,0,1,1,0,0,1,1,0,0
Bacalar,235,Green Monkey Hostel Bacalar,,4.0,3.5,0,191,186,1,1,1,3,0,0,0,0,1,2
Bacalar,2,Hotel El Mirador,,0.0,2.5,2.0,192,187,0,0,1,2,0,0,1,1,1,4
Bacalar,21,Zazil Hostel,,0.0,3.0,0,193,188,1,2,1,2,1,1,1,2,1,4
Bacalar,2,Quinta Bacalar Hotel especializado,,0.0,3.5,0,194,189,0,0,0,0,0,0,1,1,1,3
Bacalar,4,Hotel Jireh,,0.0,3.5,0,195,190,0,0,0,0,1,1,1,3,0,0
Bacalar,4,Hotel Bacalove Alojamiento,,0.0,1.0,0,196,191,0,0,0,0,0,0,0,0,0,0
Bacalar,3,Cabanas MR Hostal especializado,,0.0,4.5,0,197,192,0,0,1,1,0,0,0,0,0,0
Bacalar,3,Villas San Felipe,,0.0,5.0,0,198,193,0,0,1,2,0,0,1,2,1,2
Bacalar,12,Gran Balam Hotel B & B,,5.0,5.0,0,199,194,0,0,0,0,0,0,1,1,0,0
Bacalar,1,El Mirador Posada,,0.0,5.0,0,200,195,1,1,1,1,0,0,1,2,0,0
Bacalar,9,Bacalar Camping El Arbol de la Vida,,0.0,4.5,1.5,201,196,0,0,1,2,1,1,0,0,1,1
Bacalar,89,Bacalar Casa Lahar Villa vacacional,,4.0,4.0,0,202,197,1,1,1,1,1,1,1,1,1,1
Bacalar,18,Agave Blue Bacalar,,4.5,4.5,0,203,198,1,2,1,2,0,0,1,2,1,3
Bacalar,108,Hotel Nido del Quetzal,,4.0,4.0,0,204,199,0,0,1,2,0,0,1,2,1,1
Bacalar,29,Morgan House Hostel,,5.0,4.5,0,205,200,0,0,1,2,0,0,0,0,1,2
Bacalar,34,Hotelito La Ceiba Posada,,4.0,4.5,0,206,201,0,0,1,2,0,0,1,1,1,1
Bacalar,1,Hotel Margarita Bacalar Hotel especializado,,0.0,3.0,0,207,202,0,0,1,3,1,1,1,2,1,2
Bacalar,76,Bacalar Casachina Hostal,,3.5,3.5,0,210,205,0,0,1,2,0,0,1,1,1,1
Bacalar,19,Hotel Balché,,5.0,4.5,0,211,206,0,0,1,2,0,0,1,1,0,0
Bacalar,122,Casa Lamat,1234.0,3.5,4.0,0,212,207,1,1,1,2,0,0,1,1,0,0
Bacalar,382,Bacalar Lagoon Resort Villa vacacional,,5.0,4.5,3.0,213,208,0,0,1,1,0,0,1,2,1,1
Bacalar,737,Centro Holistico Akalki Spa,7612.0,4.0,4.5,0,215,210,1,1,1,2,1,1,1,1,1,1
Bacalar,62,Bacalar Sunrise Villa Alojamiento,1461.0,5.0,4.5,0,216,211,0,0,1,2,1,2,1,3,1,2
Bacalar,20,Villa Marilu B & B,,5.0,4.5,0,217,212,0,0,1,1,0,0,1,1,1,1
Bacalar,53,Hotel Sun Ha Bacalar,1584.0,4.0,4.5,2.0,218,213,0,0,1,2,0,0,1,2,1,1
Bacalar,236,Casa Bakal Hostal,2884.0,3.0,4.0,0,219,214,1,1,1,1,1,2,0,0,1,1
Bacalar,17,Hotel ADE,1019.0,0.0,3.5,0,220,215,0,0,1,3,0,0,1,2,0,0
Bacalar,15,Casa Yunuem Hostal,,0.0,4.0,0,221,216,0,0,1,2,1,4,1,2,1,3
Bacalar,5,Hotelito K´uyche´ Alojamiento,787.0,5.0,5.0,0,222,217,0,0,1,2,0,0,1,1,0,0
Bacalar,1,Hotel Khaban Bacalar Hotel especializado,,0.0,5.0,0,223,218,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Capital O Hotel Pejelagarto Bacalar,,0.0,5.0,0,224,219,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Hotel Xa'an,,0.0,5.0,0,225,220,0,0,0,0,0,0,0,0,0,0
Bacalar,35,Posada Guadalupe,,4.5,4.0,0,226,221,0,0,1,2,0,0,1,1,0,0
Bacalar,4,Aldea Che-eek,1250.0,0.0,5.0,0,227,222,0,0,0,0,0,0,0,0,0,0
Bacalar,26,VILLA COLIBRÍ BACALAR Posada,4747.0,2.0,3.5,0,228,223,0,0,1,2,1,3,1,2,1,2
Bacalar,4,Royal Palm Bacalar Cabanas & Lagoon Club Posada,1250.0,0.0,3.5,0,229,224,0,0,0,0,0,0,0,0,0,0
Bacalar,6,Casa Eek Balaám Hostal,,0.0,4.0,0,230,225,0,0,1,2,0,0,0,0,0,0
Bacalar,3,Poza Clara Sanctuary Hotel,1499.0,0.0,4.5,0,231,226,0,0,0,0,0,0,1,1,0,0
Bacalar,7,OYO Hotel Casa Ariana Alojamiento,720.0,0.0,4.5,0,232,227,0,0,0,0,0,0,0,0,0,0
Bacalar,4,Tropic Bacalar,1900.0,0.0,4.0,0,233,228,0,0,0,0,0,0,0,0,0,0
Bacalar,9,Zensus,1566.0,0.0,5.0,0,234,229,0,0,0,0,0,0,0,0,0,0
Bacalar,26,Hotel Casa Lima,893.0,4.5,4.0,0,235,230,0,0,1,2,0,0,1,2,1,1
Bacalar,6,Stone Aparments,1114.0,0.0,3.0,0,236,231,0,0,0,0,0,0,1,1,0,0
Bacalar,1,Xibalbá Bacalar Hotel,,0.0,2.0,0,239,234,0,0,0,0,0,0,0,0,0,0
Bacalar,1,Cedro Rojo,,0.0,1.0,0,240,235,0,0,0,0,0,0,0,0,0,0
Bacalar,1,Hotel Maalob Che Bacalar By Rotamundos,,0.0,1.0,0,241,236,0,0,0,0,0,0,0,0,0,0
Bacalar,12,Pancho Villas,1820.0,0.0,3.5,0,242,237,0,0,0,0,0,0,1,1,0,0
Bacalar,292,Hotel Los Aluxes Bacalar Complejo turístico especializado,,3.5,3.5,0,243,238,0,0,1,1,1,1,1,2,1,1
Bacalar,99,Amigos Hotelito,1800.0,4.0,4.0,0,244,239,1,1,1,2,0,0,1,1,1,1
Bacalar,25,Casa Sol y Luna Bacalar B & B,,0.0,5.0,0,245,240,1,1,1,2,1,1,1,1,1,3
Bacalar,7,Peggy and Scott's Cabanas,,5.0,5.0,0,246,241,0,0,1,2,0,0,1,1,1,1
Bacalar,12,Maya Cala Villa vacacional,,5.0,4.5,0,247,242,1,1,1,2,0,0,1,1,0,0
Bacalar,8,Delmar Camping,,0.0,5.0,0,248,243,0,0,0,0,0,0,1,1,0,0
Bacalar,1,Casa Kukulkan,,0.0,3.0,0,249,244,1,2,1,1,1,1,1,1,0,0
Bacalar,1,Casa Maya Blue Hostal,,0.0,3.0,0,250,245,1,1,1,2,0,0,0,0,1,1
Bacalar,3,Tribu Camping,,0.0,3.5,0,251,246,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Hotel Nikté Bacalar Alojamiento,,0.0,3.5,0,252,247,0,0,1,2,0,0,1,1,1,2
Bacalar,27,Villa Balu Hotel Boutique,,4.5,4.0,3.0,253,248,0,0,1,2,0,0,1,1,0,0
Bacalar,1,Hotel Amarbacalar Posada,,0.0,4.0,0,254,249,0,0,0,0,0,0,0,0,0,0
Bacalar,6,Tucan Village B & B,,0.0,3.5,0,255,250,0,0,0,0,0,0,0,0,0,0
Bacalar,6,El Búho Lagoon,,0.0,3.5,0,256,251,1,1,1,2,0,0,1,2,1,5
Bacalar,18,Blue Matisse,,3.0,2.5,0,257,252,0,0,0,0,0,0,1,1,1,1
Bacalar,1,Bakala,,0.0,5.0,0,258,253,0,0,1,2,0,0,0,0,0,0
Bacalar,3,Hotel Dana,,4.5,4.0,0,259,254,0,0,0,0,1,1,1,1,1,2
Bacalar,4,Ximbal Camping,,0.0,4.0,0,260,255,0,0,1,1,0,0,1,1,0,0
Bacalar,1,Bacalar Laguna Club & Glamping,,0.0,4.0,0,261,256,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Hotel Miriam Hotel especializado,,0.0,4.5,0,262,257,0,0,0,0,0,0,1,1,0,0
Bacalar,10,Cabanas Panto-Ha,,4.5,4.0,0,263,258,0,0,0,0,0,0,0,0,0,0
Bacalar,20,Hotel Lunas,,4.0,4.5,0,264,259,0,0,1,2,0,0,1,2,1,1
Bacalar,52,Kulu Tubohostel Bacalar B & B,,0.0,4.5,0,265,260,0,0,1,2,1,1,1,1,1,1
Bacalar,1,Xulada Manux Alojamiento,,5.0,5.0,0,266,261,0,0,1,2,1,1,0,0,1,1
Bacalar,10,Hotel Moon Lagoon Bacalar Alojamiento,,5.0,4.0,0,267,262,0,0,1,2,0,0,0,0,0,0
Bacalar,21,Posada Casa Madrid,,4.5,3.5,0,268,263,0,0,1,2,0,0,1,2,0,0
Bacalar,163,Tortuga Bacalar Hostal,,4.0,3.5,0,269,264,1,2,1,2,0,0,1,1,1,1
Bacalar,1,El Meson del Pirata Hostal,,0.0,5.0,0,270,265,0,0,1,1,0,0,1,2,1,1
Bacalar,8,Kairós,,0.0,4.0,0,271,266,0,0,0,0,0,0,1,1,1,1
Bacalar,12,Rancho Alegre Bacalar Complejo turístico especializado,,4.0,3.5,0,272,267,1,1,0,0,0,0,1,1,1,1
Bacalar,2,Camping Jardín De Venus,,0.0,5.0,0,273,268,0,0,0,0,0,0,0,0,0,0
Bacalar,2,Hospedaje Consuelo Hostal especializado,,0.0,4.5,0,274,269,0,0,0,0,0,0,1,1,0,0
