city,comments,name,prices,quality_price,rating,services,stars,url
Riviera Nayarit,,"Casa Five Elements By Rotamundos, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d23524537-Reviews-Casa_Five_Elements_By_Rotamundos-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Hotel Adventure Posada, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d21504682-Reviews-Hotel_Adventure-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Alojamientos Jade, Villa Maestro B & B, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d17643500-Reviews-Alojamientos_Jade_Villa_Maestro-Sayulita_Pacific_Coast.html
Riviera Nayarit,,"Casa Pepe Le Pew & Hostal, Sayulita, Nayarit",,,,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d19751392-Reviews-Casa_Pepe_Le_Pew_Hostal-Sayulita_Pacific_Coast.html
Riviera Nayarit,26 opiniones,"Sayulita Trailer Park and Bungalows, Nayarit",,ui_bubble_rating bubble_25,2.5,"Playa,Actividades infantiles (Ideal para niños / familias)",,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d6762257-Reviews-Sayulita_Trailer_Park_and_Bungalows-Sayulita_Pacific_Coast.html
Riviera Nayarit,1 opinión,"Hostal Lolita, Sayulita, Nayarit",,,1.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d12679641-Reviews-Hostal_Lolita-Sayulita_Pacific_Coast.html
Riviera Nayarit,8 opiniones,"Hostal del Centro, Sayulita, Nayarit",,ui_bubble_rating bubble_35,3.0,,,https://www.tripadvisor.com.mx/Hotel_Review-g445056-d3845988-Reviews-Hostal_del_Centro-Sayulita_Pacific_Coast.html
Isla Mujeres,27 opiniones,"Maria Leticia Apartments, Isla Mujeres",,ui_bubble_rating bubble_45,4.5,"Internet gratuito,Aire acondicionado,Refrigerador",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d1754337-Reviews-Maria_Leticia_Apartments-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,33 opiniones,"Eco Cabanas Pirata Morgan Casa de campo, Isla Mujeres",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Desayuno gratis,Bar/Salón,Playa,Actividades infantiles (Ideal para niños / familias),Se admiten mascotas ( Se aceptan perros / mascotas ),Transporte al aeropuerto,Spa,Servicio a la habitación",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d4546602-Reviews-Eco_Cabanas_Pirata_Morgan-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,59 opiniones,"Punta Piedra Apartamento, Isla Mujeres",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet de alta velocidad gratuito (WiFi),Wifi,Piscina,Playa,Actividades infantiles (Ideal para niños / familias),Hotel para no fumadores,Aire acondicionado,Kitchenette,Refrigerador,Habitaciones para no fumadores",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d278166-Reviews-Punta_Piedra-Isla_Mujeres_Yucatan_Peninsula.html
Isla Mujeres,29 opiniones,"Casa Luna Turquesa Villa vacacional, Isla Mujeres",,ui_bubble_rating bubble_45,4.5,"Estacionamiento gratis,Internet gratuito,Internet,Piscina,Bar/Salón,Hotel para no fumadores,Aire acondicionado,Kitchenette,Refrigerador",,https://www.tripadvisor.com.mx/Hotel_Review-g150810-d1200561-Reviews-Casa_Luna_Turquesa-Isla_Mujeres_Yucatan_Peninsula.html
